experiment_name, lr, init_std, l2_reg, num_train, batch_size, bond_dim, num_epochs, num_test, dynamic_mode, periodic_bc, loss, train_acc, test_acc
INIT_STD_TEST, 0.0001, 0.0015014687019912702, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 0.4245470464229584, 0.8879999999999999, 0.7655999999999998
INIT_STD_TEST, 0.0001, 0.00014364574095332945, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 0.4476625919342041, 0.8859999999999999, 0.7254000000000004
INIT_STD_TEST, 0.0001, 9.975182436706577e-06, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 0.4277535080909729, 0.8859999999999999, 0.7593999999999997
INIT_STD_TEST, 0.0001, 8.13246731957753e-09, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 0.47464966773986816, 0.868, 0.7412000000000001
INIT_STD_TEST, 0.0001, 3.1804194850784674e-07, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 0.391655832529068, 0.893, 0.7572
INIT_STD_TEST, 0.0001, 7.73600607383822e-05, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 0.4841742515563965, 0.8720000000000001, 0.7516000000000002
INIT_STD_TEST, 0.0001, 2.3488169164250994e-06, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 0.4405665993690491, 0.8720000000000001, 0.7768
FULL_RANDOM, 0.002668773949418041, 3.318034427560744e-09, 9.637242282539145e-08, 1000, 100, 15, 10, 5000, 0, 1, 2.1082847118377686, 0.265, 0.29400000000000004
FULL_RANDOM, 3.5937558732711375e-06, 0.0020301742076098877, 2.7661111142013153e-05, 1000, 100, 15, 10, 5000, 1, 0, 2.302584409713745, 0.11599999999999999, 0.11419999999999997
FULL_RANDOM, 0.0002539628025725926, 7.936572316926889e-05, 4.9974671475789874e-05, 1000, 100, 15, 10, 5000, 1, 0, 2.3022541999816895, 0.174, 0.1574000000000001
FULL_RANDOM, 3.6883519173032345e-06, 3.0835101936318076e-11, 0.3571407557174587, 1000, 100, 15, 10, 5000, 1, 0, 2.3025834560394287, 0.119, 0.10479999999999996
FULL_RANDOM, 0.002355068151154659, 1.6883888497810208e-06, 3.342014629965344e-08, 1000, 100, 15, 10, 5000, 1, 1, 2.2637391090393066, 0.16699999999999998, 0.13760000000000003
FULL_RANDOM, 0.010263230239379412, 1.239937880008669e-08, 0.00023880663170666727, 1000, 100, 15, 10, 5000, 0, 1, 2.3025827407836914, 0.097, 0.09199999999999997
FULL_RANDOM, 6.7188994486925475e-06, 0.3983510223225431, 7.150626422372182e-05, 1000, 100, 15, 10, 5000, 1, 0, 2.302584648132324, 0.11599999999999999, 0.11419999999999997
FULL_RANDOM, 3.903242973011224e-06, 3.602777411282916e-17, 5.105359210518682e-06, 1000, 100, 15, 10, 5000, 1, 0, 2.302584409713745, 0.11599999999999999, 0.11419999999999997
FULL_RANDOM, 3.1537922854394336e-05, 0.000262049843903126, 0.5689876455661289, 1000, 100, 15, 10, 5000, 0, 0, 2.3025834560394287, 0.087, 0.09779999999999997
